Selected,Organization,City,Country,start-date,end-date,Event,Title
1,European Space Agency (ESA) Centre for Earth Observation (ESRIN),Frascati,Italy,2019-09-09,2019-09-13,phi-week,Satellite Earth Observations for Impact Assessment of Global Supply Chains
1,Innsbruck University,Innsbruck,Austria,2019-02-28,2019-03-02,II Austrian Conference on International Resource Politics - Resources for a social-ecological transformation,Using global crop maps to improve the estimation of impacts associated with biomass production
1,European Space Agency (ESA) Centre for Earth Observation (ESRIN),Frascati,Italy,2017-09-25,2017-09-28,Open Science Conference 2017,dtwSat: An R Package for Land Cover Classification Using Satellite Image Time Series
1,University of Helsinki,Helsinki,Finland,2016-03-10,2016-03-11,Doctoral program in interdisciplinary environmental sciences (DENVI) Annual Meeting,Big Earth observation data analytics for land use and land cover change in the Brazilian Amazon
1,Linköping University,Linköping,Sweden,2016-08-18,2016-08-18,Lecture at the Linköping University,Big Earth Observation Data Analytics: Matching Requirements to System Architectures
0,University of Münster,Münster,Germany,2016-07-12,2016-07-12,Lecture at University of Münster,Land cover monitoring using satellite image time series
1,Humboldt University of Berlin,Berlin,Germany,2016-02-29,2016-02-29,Lecture at the Humboldt University of Berlin,Time-Weighted Dynamic Time Warping for satellite image time series analysis
1,Coordination for the Improvement of Higher Education Personnel (CAPES),Brasília, Brazil,2016-05-16,2016-05-20,Brazil-Sweden Excellence Seminar,Large-scale agricultural mapping using big earth observation data  
0,University of Münster,Münster,Germany,2015-07-20,2015-07-23,Workshop on invasive species,Time series data mining for vegetation cover monitoring  
0,KTH Royal Institute of Technology, Stockholm, Sweden,2015-06-15,2015-06-19,35th EARSeL Symposium and 2nd EARSeL International Workshop on Temporal Analysis of Satellite Images,Land use mapping in the Brazilian Amazon with remote sensing time series
0,German Aerospace Center,Berlin,Germany,2015-05-11,2015-05-15,36th International Symposium on Remote Sensing of Environment,Dynamic time warping applied to spatiotemporal agriculture mapping in the Brazilian Amazon
0,University of Münster,Münster, Germany,2014-07-16,2014-07-17,REDD-PAC Annual Meeting Workshop,Spatiotemporal mapping with remote sensing time series: Temporal patterns and data quality
0,International Institute for Applied Systems Analysis,Laxenburg,Austria,2013-07-29,2013-07-30,Global and Regional Advances in Studying the Water-Food Nexus Workshop,Satellite time series analysis for land use/cover change detection
0,International Institute for Applied Systems Analysis,Laxenburg,Austria,2013-08-26,2013-08-27,YSSP 2013 Late Summer Workshop,Satellite time series analysis for land use/cover change detection
0,International Institute for Applied Systems Analysis,Laxenburg,Austria,2012-10-29,2012-10-31,REDD-PAC Annual Meeting Workshop,Satellite time series analysis
0,Federal University of Ouro Preto (UFOP),Ouro Preto,Brazil,2011-11-13,2011-11-16,XXXII Iberian Latin American Congress on Computational Methods in Engineering (CILAMCE),Contaminant transport in porous media under biodegradation and non-equilibrium sorption reactions